gender,season,hand,year,college,US.Int,MN,MN.fair,campus ,shower,movies,hair,charities,Swiftie ,exercise,courses,TikTok,procrastinate,sleep,sleep.weekend,HS.GPA,college.GPA, tattoos,traffic.tickets ,text.drive,dom.foot,non.dom.foot,num.heads,num.candies
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Depends,5,15,5,No,1,4,5,3,6,9,3.7,NA,0,0,No,10.01,7.37,7,137
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,No,Evening,5,50,100,No,3,6,2,2,7,10,3.79,NA,0,0,No,50,37,6,34
Female,Fall,Left,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Evening,4,100,20,No,1,2,0,0,8,9,3.5,NA,0,0,No,60,20,5,44
Female,Summer,Left,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Yes,Depends,4,60,0,Yes,1,2,2,1,9,10,3.7,3.92,1,1,No,315,615,6,60
Female,Winter,Right,Junior,College of Biological Sciences (CBS),U.S.,No,No,No,Depends,4,30,50,No,0,4,0,1,7,8,3.8,3.4,0,0,No,120,120,6,83
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Evening,3,0,30,I am not sure,2,6,2,4,7,9,3.9,NA,0,0,Yes,900,360,6,82
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,No,Yes,Evening,9,50,720,No,1,2,0,5,8,8,3.43,NA,0,0,No,240,240,5,70
Male,Winter,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,No,Depends,1,40,0,No,2,6,0,NA,7,6,3.9,NA,0,1,No,NA,NA,8,90
Male,Fall,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Morning,8,25,30,Yes,1.5,4,0,3,6,9,3.3,3,0,0,No,195,180,3,155
Female,Winter,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,No,No,Morning,2,170,0,No,0,6,1,0,6,10,3.75,3.51,0,0,No,300,120,6,50
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),International,No,No,Yes,Depends,2,0,0,No,2,10,0,1,6,8,NA,NA,0,0,No,37,114,7,30
Female,Spring,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Depends,4,130,50,No,3,1,4,24,5,6,3.6,2.75,0,1,Yes,148,152,6,122
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,Yes,Yes,Evening,6,300,0,No,1,3,2.5,2,7,10,4,3.6,0,0,No,247,277,4,121
Female,Fall,Left,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Yes,Evening,4,120,100,No,0,4,2,1,7,8,4,4,0,0,No,24,52,5,93
